"loc_year_month","mosq_species","date.x","year.x","month.x","lat.x","long.x","loc_name.x","loc_code.x","host_species","host_common","host_method","BIOL3070_seqID","agency_pool_num","num_count","date.y","year.y","month.y","lat.y","long.y","loc_code.y","loc_name.y","test_status"
"site033_2018.07","Cx_pipiens_sl",18-07-11,2018,7,40.72467,-111.928102,"Quality Tire",33,"Passer_domesticus","House_sparrow","SPAdes","SQ230",594,63,2018-07-31,2018,7,-111.931808,40.727647,33,"Glendale Golf Course","Negative"
"site033_2018.07","Cx_pipiens_sl",18-07-11,2018,7,40.72467,-111.928102,"Quality Tire",33,"Passer_domesticus","House_sparrow","SPAdes","SQ230",404,17,2018-07-17,2018,7,-111.931808,40.727647,33,"Glendale Golf Course","Negative"
"site033_2018.07","Cx_pipiens_sl",18-07-11,2018,7,40.72467,-111.928102,"Quality Tire",33,"Passer_domesticus","House_sparrow","SPAdes","SQ230",497,75,2018-07-26,2018,7,-111.931808,40.727647,33,"Glendale Golf Course","Negative"
"site033_2018.07","Cx_pipiens_sl",18-07-11,2018,7,40.72467,-111.928102,"Quality Tire",33,"Passer_domesticus","House_sparrow","SPAdes","SQ230",211,11,2018-07-03,2018,7,-111.931808,40.727647,33,"Glendale Golf Course","Negative"
"site034_2018.07","Cx_pipiens_sl",18-07-11,2018,7,40.77151937,-111.9774491,"Wingpointe",34,"Haemorhous_mexicanus","House_finch","NPS.SPAdes.2028","",262,55,2018-07-03,2018,7,-111.97708,40.771529,34,"Wingpointe","Negative"
"site034_2018.07","Cx_pipiens_sl",18-07-11,2018,7,40.77151937,-111.9774491,"Wingpointe",34,"Haemorhous_mexicanus","House_finch","NPS.SPAdes.2028","",523,100,2018-07-26,2018,7,-111.97708,40.771529,34,"Wingpointe","Negative"
"site034_2018.07","Cx_pipiens_sl",18-07-11,2018,7,40.77151937,-111.9774491,"Wingpointe",34,"Haemorhous_mexicanus","House_finch","NPS.SPAdes.2028","",524,19,2018-07-26,2018,7,-111.97708,40.771529,34,"Wingpointe","Negative"
"site034_2018.07","Cx_pipiens_sl",18-07-11,2018,7,40.77151937,-111.9774491,"Wingpointe",34,"Haemorhous_mexicanus","House_finch","NPS.SPAdes.2028","",677,19,2018-07-31,2018,7,-111.97708,40.771529,34,"Wingpointe","Negative"
"site034_2018.07","Cx_pipiens_sl",18-07-11,2018,7,40.77151937,-111.9774491,"Wingpointe",34,"Haemorhous_mexicanus","House_finch","NPS.SPAdes.2028","",317,95,2018-07-10,2018,7,-111.97708,40.771529,34,"Wingpointe","Negative"
"site034_2018.07","Cx_pipiens_sl",18-07-11,2018,7,40.77151937,-111.9774491,"Wingpointe",34,"Haemorhous_mexicanus","House_finch","NPS.SPAdes.2028","",446,92,2018-07-17,2018,7,-111.97708,40.771529,34,"Wingpointe","Negative"
"site034_2018.07","Cx_pipiens_sl",18-07-11,2018,7,40.77151937,-111.9774491,"Wingpointe",34,"Haemorhous_mexicanus","House_finch","NPS.SPAdes.2028","",316,100,2018-07-10,2018,7,-111.97708,40.771529,34,"Wingpointe","Negative"
"site034_2018.07","Cx_pipiens_sl",18-07-11,2018,7,40.77151937,-111.9774491,"Wingpointe",34,"Haemorhous_mexicanus","House_finch","NPS.SPAdes.2028","",676,100,2018-07-31,2018,7,-111.97708,40.771529,34,"Wingpointe","Negative"
"site034_2018.07","Cx_pipiens_sl",18-07-02,2018,7,40.77151937,-111.9774491,"Wingpointe",34,"Tyrannus_verticalis","Western_kingbird","SPAdes","SQ185",262,55,2018-07-03,2018,7,-111.97708,40.771529,34,"Wingpointe","Negative"
"site034_2018.07","Cx_pipiens_sl",18-07-02,2018,7,40.77151937,-111.9774491,"Wingpointe",34,"Tyrannus_verticalis","Western_kingbird","SPAdes","SQ185",523,100,2018-07-26,2018,7,-111.97708,40.771529,34,"Wingpointe","Negative"
"site034_2018.07","Cx_pipiens_sl",18-07-02,2018,7,40.77151937,-111.9774491,"Wingpointe",34,"Tyrannus_verticalis","Western_kingbird","SPAdes","SQ185",524,19,2018-07-26,2018,7,-111.97708,40.771529,34,"Wingpointe","Negative"
"site034_2018.07","Cx_pipiens_sl",18-07-02,2018,7,40.77151937,-111.9774491,"Wingpointe",34,"Tyrannus_verticalis","Western_kingbird","SPAdes","SQ185",677,19,2018-07-31,2018,7,-111.97708,40.771529,34,"Wingpointe","Negative"
"site034_2018.07","Cx_pipiens_sl",18-07-02,2018,7,40.77151937,-111.9774491,"Wingpointe",34,"Tyrannus_verticalis","Western_kingbird","SPAdes","SQ185",317,95,2018-07-10,2018,7,-111.97708,40.771529,34,"Wingpointe","Negative"
"site034_2018.07","Cx_pipiens_sl",18-07-02,2018,7,40.77151937,-111.9774491,"Wingpointe",34,"Tyrannus_verticalis","Western_kingbird","SPAdes","SQ185",446,92,2018-07-17,2018,7,-111.97708,40.771529,34,"Wingpointe","Negative"
"site034_2018.07","Cx_pipiens_sl",18-07-02,2018,7,40.77151937,-111.9774491,"Wingpointe",34,"Tyrannus_verticalis","Western_kingbird","SPAdes","SQ185",316,100,2018-07-10,2018,7,-111.97708,40.771529,34,"Wingpointe","Negative"
"site034_2018.07","Cx_pipiens_sl",18-07-02,2018,7,40.77151937,-111.9774491,"Wingpointe",34,"Tyrannus_verticalis","Western_kingbird","SPAdes","SQ185",676,100,2018-07-31,2018,7,-111.97708,40.771529,34,"Wingpointe","Negative"
"site034_2020.07","Cx_tarsalis",20-07-09,2020,7,40.77151937,-111.9774491,"Wingpointe",34,"Haemorhous_mexicanus","House_finch","SPAdes","SQ156",157,100,2020-07-14,2020,7,-111.97708,40.771529,34,"Wingpointe","Negative"
"site034_2020.07","Cx_tarsalis",20-07-09,2020,7,40.77151937,-111.9774491,"Wingpointe",34,"Haemorhous_mexicanus","House_finch","SPAdes","SQ156",158,100,2020-07-14,2020,7,-111.97708,40.771529,34,"Wingpointe","Negative"
