"loc_year_month","date.x","year.x","month.x","lat.x","long.x","loc_name.x","loc_code.x","mosq_species.x","host_species","host_common","host_method","BIOL3070_seqID","agency_pool_num","mosq_species.y","num_count","date.y","year.y","month.y","lat.y","long.y","loc_code.y","loc_name.y","test_status"
"site031_2018.07",18-07-15,2018,7,40.7975099,-111.9207458,"1008 Dupont Ave",31,"Cx_pipiens_sl","Zenaida_macroura","Mourning_dove","SPAdes","SQ231",535,"Cx_tarsalis",100,2018-07-26,2018,7,-111.937342,40.80014,31,"Rose Park Golf Course","Negative"
"site031_2018.07",18-07-15,2018,7,40.7975099,-111.9207458,"1008 Dupont Ave",31,"Cx_pipiens_sl","Zenaida_macroura","Mourning_dove","SPAdes","SQ231",314,"Cx_pipiens_sl",16,2018-07-10,2018,7,-111.937342,40.80014,31,"Rose Park Golf Course","Negative"
"site031_2018.07",18-07-15,2018,7,40.7975099,-111.9207458,"1008 Dupont Ave",31,"Cx_pipiens_sl","Zenaida_macroura","Mourning_dove","SPAdes","SQ231",366,"Cx_tarsalis",91,2018-07-12,2018,7,-111.937342,40.80014,31,"Rose Park Golf Course","Negative"
"site031_2018.07",18-07-15,2018,7,40.7975099,-111.9207458,"1008 Dupont Ave",31,"Cx_pipiens_sl","Zenaida_macroura","Mourning_dove","SPAdes","SQ231",208,"Cx_pipiens_sl",26,2018-07-03,2018,7,-111.937342,40.80014,31,"Rose Park Golf Course","Negative"
"site031_2018.07",18-07-15,2018,7,40.7975099,-111.9207458,"1008 Dupont Ave",31,"Cx_pipiens_sl","Zenaida_macroura","Mourning_dove","SPAdes","SQ231",641,"Cx_tarsalis",57,2018-07-31,2018,7,-111.937342,40.80014,31,"Rose Park Golf Course","Negative"
"site031_2018.07",18-07-15,2018,7,40.7975099,-111.9207458,"1008 Dupont Ave",31,"Cx_pipiens_sl","Zenaida_macroura","Mourning_dove","SPAdes","SQ231",209,"Cx_tarsalis",100,2018-07-03,2018,7,-111.937342,40.80014,31,"Rose Park Golf Course","Negative"
"site031_2018.07",18-07-15,2018,7,40.7975099,-111.9207458,"1008 Dupont Ave",31,"Cx_pipiens_sl","Zenaida_macroura","Mourning_dove","SPAdes","SQ231",455,"Cx_tarsalis",100,2018-07-19,2018,7,-111.937342,40.80014,31,"Rose Park Golf Course","Negative"
"site031_2018.07",18-07-15,2018,7,40.7975099,-111.9207458,"1008 Dupont Ave",31,"Cx_pipiens_sl","Zenaida_macroura","Mourning_dove","SPAdes","SQ231",639,"Cx_pipiens_sl",100,2018-07-31,2018,7,-111.937342,40.80014,31,"Rose Park Golf Course","Negative"
"site031_2018.07",18-07-15,2018,7,40.7975099,-111.9207458,"1008 Dupont Ave",31,"Cx_pipiens_sl","Zenaida_macroura","Mourning_dove","SPAdes","SQ231",533,"Cx_pipiens_sl",37,2018-07-26,2018,7,-111.937342,40.80014,31,"Rose Park Golf Course","Negative"
"site031_2018.07",18-07-15,2018,7,40.7975099,-111.9207458,"1008 Dupont Ave",31,"Cx_pipiens_sl","Zenaida_macroura","Mourning_dove","SPAdes","SQ231",454,"Cx_tarsalis",100,2018-07-19,2018,7,-111.937342,40.80014,31,"Rose Park Golf Course","Negative"
"site031_2018.07",18-07-15,2018,7,40.7975099,-111.9207458,"1008 Dupont Ave",31,"Cx_pipiens_sl","Zenaida_macroura","Mourning_dove","SPAdes","SQ231",210,"Cx_tarsalis",56,2018-07-03,2018,7,-111.937342,40.80014,31,"Rose Park Golf Course","Negative"
"site031_2018.07",18-07-15,2018,7,40.7975099,-111.9207458,"1008 Dupont Ave",31,"Cx_pipiens_sl","Zenaida_macroura","Mourning_dove","SPAdes","SQ231",453,"Cx_pipiens_sl",71,2018-07-19,2018,7,-111.937342,40.80014,31,"Rose Park Golf Course","Negative"
"site031_2018.07",18-07-15,2018,7,40.7975099,-111.9207458,"1008 Dupont Ave",31,"Cx_pipiens_sl","Zenaida_macroura","Mourning_dove","SPAdes","SQ231",534,"Cx_tarsalis",100,2018-07-26,2018,7,-111.937342,40.80014,31,"Rose Park Golf Course","Negative"
"site032_2018.07",18-07-11,2018,7,40.77368687,-111.9200176,"Fair Park",32,"Cx_pipiens_sl","Passer_domesticus","House_sparrow","SPAdes","SQ227",471,"Cx_pipiens_sl",12,2018-07-19,2018,7,-111.922979,40.772317,32,"Fair Park","Negative"
